11:21:37     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:21:38      56    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      57    1.01    0.00    1.01    0.00    0.00    0.00    0.00   33.33    0.00   64.65
11:21:38      58    0.00    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   90.91
11:21:38      59    0.00    0.00    2.06    1.03    0.00    0.00    0.00    0.00    0.00   96.91
11:21:38      60    0.00    0.00    1.02    1.02    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38      61    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:21:38      62    0.00    0.00    2.02    0.00    0.00    0.00    0.00    1.01    0.00   96.97
11:21:38      63    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:21:38      64    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:21:38      65    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   98.98
11:21:38      66    0.00    0.00    1.00    0.00    0.00    0.00    0.00    4.00    0.00   95.00
11:21:38      67    0.00    0.00    4.08    0.00    0.00    0.00    0.00    2.04    0.00   93.88
11:21:38      68    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:21:38      69    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:38      70    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38      71    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38      72    0.00    0.00    1.00    0.00    0.00    1.00    0.00   36.00    0.00   62.00
11:21:38      73    0.00    0.00    2.04    0.00    0.00    0.00    0.00    4.08    0.00   93.88
11:21:38      74    0.00    0.00    4.04    0.00    0.00    0.00    0.00   12.12    0.00   83.84
11:21:38      75    1.01    0.00    5.05    0.00    0.00    1.01    0.00    1.01    0.00   91.92
11:21:38      76    0.00    0.00   26.00    0.00    0.00    0.00    0.00   74.00    0.00    0.00
11:21:38      77    0.00    0.00    1.00    0.00    0.00    1.00    0.00   18.00    0.00   80.00
11:21:38      78    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:21:38      79    0.00    0.00   30.61    0.00    0.00    0.00    0.00    1.02    0.00   68.37
11:21:38      80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00   99.00
11:21:38      81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      82    0.00    0.00    2.04    0.00    0.00    0.00    0.00   58.16    0.00   39.80
11:21:38      83    1.02    0.00    7.14    0.00    0.00    0.00    0.00    0.00    0.00   91.84
11:21:38      84    0.00    0.00    1.02    0.00    0.00    0.00    0.00   90.82    0.00    8.16
11:21:38      85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      86    1.01    0.00    0.00    0.00    0.00    1.01    0.00   75.76    0.00   22.22
11:21:38      87    1.01    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   80.81
11:21:38      88    0.00    0.00   14.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
11:21:38      89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      92    1.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00    0.00   13.00
11:21:38      93    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.18    0.00   90.82
11:21:38      94    0.00    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   88.78
11:21:38      95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38      96    0.00    0.00    2.04    0.00    0.00    0.00    0.00    1.02    0.00   96.94
11:21:38      97    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38      98    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38      99    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
11:21:38     100    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
11:21:38     101    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     102    0.00    0.00    0.00    0.00    0.00    0.99    0.00   99.01    0.00    0.00
11:21:38     103    0.00    0.00    5.21    0.00    0.00    0.00    0.00    0.00    0.00   94.79
11:21:38     104    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38     105    1.01    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:21:38     106    0.00    0.00    0.00    0.00    0.00    0.99    0.00   82.18    0.00   16.83
11:21:38     107    0.00    0.00    1.01    0.00    0.00    0.00    0.00   18.18    0.00   80.81
11:21:38     108    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.01    0.00   98.99
11:21:38     109    1.01    0.00    0.00    0.00    0.00    0.00    0.00   33.33    0.00   65.66
11:21:38     110    0.00    0.00    8.00    0.00    0.00    1.00    0.00   91.00    0.00    0.00
11:21:38     111    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:21:38     112    0.00    0.00   30.30    0.00    0.00    0.00    0.00    3.03    0.00   66.67
11:21:38     113    0.00    0.00   40.43    0.00    0.00    0.00    0.00    2.13    0.00   57.45
11:21:38     114    0.00    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   91.58
11:21:38     115    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     116    0.00    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   96.04
11:21:38     117    0.00    0.00   49.47    0.00    0.00    0.00    0.00   47.37    0.00    3.16
11:21:38     118    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     119    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     120    0.00    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   91.84
11:21:38     121    0.00    0.00   11.11    0.00    0.00    4.04    0.00    0.00    0.00   84.85
11:21:38     122    0.00    0.00    4.04    0.00    0.00    1.01    0.00   94.95    0.00    0.00
11:21:38     123    0.00    0.00    2.00    0.00    0.00    0.00    0.00    1.00    0.00   97.00
11:21:38     124    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:21:38     125    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     126    0.00    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   93.88
11:21:38     127    2.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.92
11:21:38     128    0.00    0.00    1.01    0.00    0.00    0.00    0.00    1.01    0.00   97.98
11:21:38     129    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:21:38     130    0.00    0.00    5.05    0.00    0.00    0.00    0.00    4.04    0.00   90.91
11:21:38     131    3.00    0.00    2.00    0.00    0.00    0.00    0.00    1.00    0.00   94.00
11:21:38     132    0.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
11:21:38     133   23.76    0.00   44.55    0.00    0.00    0.00    0.00    0.00    0.00   31.68
11:21:38     134    1.03    0.00    7.22    0.00    0.00    0.00    0.00    7.22    0.00   84.54
11:21:38     135    1.01    0.00    5.05    1.01    0.00    0.00    0.00    7.07    0.00   85.86
11:21:38     136    0.00    0.00    5.38    0.00    0.00    0.00    0.00    1.08    0.00   93.55
11:21:38     137    0.00    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   86.60
11:21:38     138    0.00    0.00   15.62    0.00    0.00    0.00    0.00    4.17    0.00   80.21
11:21:38     139    0.00    0.00    7.29    0.00    0.00    0.00    0.00   11.46    0.00   81.25
11:21:38     140    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:21:38     141    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:38     142    0.00    0.00    1.02    0.00    0.00    0.00    0.00    1.02    0.00   97.96
11:21:38     143    0.00    0.00    1.03    0.00    0.00    0.00    0.00    1.03    0.00   97.94
11:21:38     144    0.00    0.00    6.00    0.00    0.00    0.00    0.00   31.00    0.00   63.00
11:21:38     145    1.01    0.00    0.00    0.00    0.00    0.00    0.00    4.04    0.00   94.95
11:21:38     146    0.00    0.00    8.08    0.00    0.00    0.00    0.00    0.00    0.00   91.92
11:21:38     147    0.00    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   93.94
11:21:38     148    0.00    0.00    3.06    0.00    0.00    0.00    0.00   42.86    0.00   54.08
11:21:38     149    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     150    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.07    0.00   92.93
11:21:38     151    0.00    0.00    2.04    0.00    0.00    0.00    0.00   25.51    0.00   72.45
11:21:38     152    0.00    0.00    1.03    0.00    0.00    0.00    0.00   15.46    0.00   83.51
11:21:38     153    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     154    0.00    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   75.51
11:21:38     155    0.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
11:21:38     156    0.00    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   96.94
11:21:38     157    1.02    0.00    6.12    0.00    0.00    0.00    0.00    0.00    0.00   92.86
11:21:38     158    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     159    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38     160    1.01    0.00   11.11    0.00    0.00    0.00    0.00   19.19    0.00   68.69
11:21:38     161    0.00    0.00   10.00    0.00    0.00    0.00    0.00   62.00    0.00   28.00
11:21:38     162    0.00    0.00   13.54    0.00    0.00    0.00    0.00    3.12    0.00   83.33
11:21:38     163    0.00    0.00    2.15    0.00    0.00    0.00    0.00    7.53    0.00   90.32
11:21:38     164    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38     165    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00    0.00    0.00
11:21:38     166    2.00    0.00    2.00    1.00    0.00    0.00    0.00    0.00    0.00   95.00
11:21:38     167    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:21:38     168    0.00    0.00    1.04    0.00    0.00    0.00    0.00    0.00    0.00   98.96
11:21:38     169    0.00    0.00    2.08    0.00    0.00    0.00    0.00    0.00    0.00   97.92
11:21:38     170    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     171    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:21:38     172    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     173    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     174    1.00    0.00   19.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
11:21:38     175    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.93
11:21:38     176    0.00    0.00   10.10    0.00    0.00    0.00    0.00   13.13    0.00   76.77
11:21:38     177    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     178    0.00    0.00   52.00    0.00    0.00    0.00    0.00   48.00    0.00    0.00
11:21:38     179    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:21:38     180    0.00    0.00    1.02    0.00    0.00    0.00    0.00    2.04    0.00   96.94
11:21:38     181    1.03    0.00    0.00    0.00    0.00    0.00    0.00    1.03    0.00   97.94
11:21:38     182    0.00    0.00   26.00    0.00    0.00    0.00    0.00   12.00    0.00   62.00
11:21:38     183    0.00    0.00   54.00    0.00    0.00    0.00    0.00    9.00    0.00   37.00
11:21:38     184    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     185    0.00    0.00    2.00    0.00    0.00    0.00    0.00   78.00    0.00   20.00
11:21:38     186    0.00    0.00   69.00    0.00    0.00    0.00    0.00    8.00    0.00   23.00
11:21:38     187    0.00    0.00   24.00    0.00    0.00    0.00    0.00    1.00    0.00   75.00
11:21:38     188    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     189    0.00    0.00    0.00    0.00    0.00    0.00    0.00   67.00    0.00   33.00
11:21:38     190    0.00    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:21:38     191    0.00    0.00   14.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
11:21:38     192    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     193    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     194    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00    0.00   97.00
11:21:38     195    0.00    0.00   76.77    0.00    0.00    0.00    0.00   20.20    0.00    3.03
11:21:38     196    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     197    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     198    0.00    0.00   21.65    0.00    0.00    0.00    0.00   32.99    0.00   45.36
11:21:38     199    0.99    0.00   35.64    0.00    0.00    0.00    0.00    3.96    0.00   59.41
11:21:38     200    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:21:38     201    0.00    0.00   30.93    0.00    0.00    0.00    0.00   14.43    0.00   54.64
11:21:38     202    0.00    0.00   23.76    0.00    0.00    0.00    0.00    0.99    0.00   75.25
11:21:38     203    0.00    0.00   22.68    0.00    0.00    0.00    0.00    1.03    0.00   76.29
11:21:38     204    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     205    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     206    0.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
11:21:38     207   15.31    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   81.63
11:21:38     208    1.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
11:21:38     209    0.00    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   92.93
11:21:38     210    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     211    0.00    0.00    4.00    0.00    0.00    0.00    0.00    1.00    0.00   95.00
11:21:38     212    0.00    0.00    0.00    0.00    0.00    0.00    0.00   39.39    0.00   60.61
11:21:38     213    0.00    0.00    1.98    0.00    0.00    0.00    0.00   26.73    0.00   71.29
11:21:38     214    0.00    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   97.96
11:21:38     215    0.00    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   92.71
11:21:38     216    0.00    0.00   22.00    0.00    0.00    0.00    0.00    1.00    0.00   77.00
11:21:38     217    0.00    0.00   34.34    0.00    0.00    0.00    0.00   44.44    0.00   21.21
11:21:38     218    0.00    0.00    0.00    0.00    0.00    0.00    0.00   73.74    0.00   26.26
11:21:38     219    0.00    0.00    0.00    0.00    0.00    0.00    0.00    7.00    0.00   93.00
11:21:38     220    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     221    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     222    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:21:38     223    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00
11:21:38     224    0.00    0.00    5.15    0.00    0.00    0.00    0.00    0.00    0.00   94.85
11:21:38     225    9.09    0.00   10.10    0.00    0.00    0.00    0.00    0.00    0.00   80.81
11:21:38     226    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.77    0.00   23.23
11:21:38     227    0.00    0.00    6.06    0.00    0.00    0.00    0.00    3.03    0.00   90.91
